Strain	PB2	PB1	PA	HA	NP	NA	MA	NP
A/Singapore/22/2012				EPI466085		EPI394461		
A/Zhejiang-Wuxin/1981/2016				EPI885693		EPI885692		
A/Almaty/2958/2013				EPI461953		EPI461954		
A/Newcastle/22/2014				EPI1269269		EPI539875		
A/Cameroon/16v-9266/2016				EPI1332380		EPI1332381		
A/Cameroon/16v-9261/2016				EPI1332401		EPI1332402		
A/Cameroon/16v-9249/2016				EPI1332407		EPI1332408		
A/SouthAustralia/106/2016				EPI869544		EPI869543		
A/England/962/2016				EPI868789		EPI868790		
A/PuntaArenas/62555/2016				EPI977762		EPI977804		
A/LaSerena/61743/2016				EPI977509		EPI977510		
A/Bolivia/2315/2016	EPI865331	EPI862011	EPI862009	EPI865334	EPI862006	EPI862012		EPI862006
A/Osorno/62489/2016				EPI977513		EPI977514		
A/Missouri/16/2016	EPI824859		EPI824858	EPI824862	EPI824855	EPI824861		EPI824855
A/Texas/88/2016	EPI752309	EPI752310	EPI761844	EPI752312	EPI752305	EPI752311		EPI752305
A/Nevada/22/2016	EPI747837	EPI747838	EPI747836	EPI747840	EPI802071	EPI747839		EPI802071
A/Roraima/143199-IEC/2016	EPI910608	EPI910609	EPI910607	EPI910611	EPI910604	EPI910610		EPI910604
A/Roraima/144714-IEC/2016	EPI910640	EPI910641	EPI910639	EPI910643	EPI910636	EPI910642		EPI910636
A/Roraima/144238-IEC/2016	EPI910632	EPI910633	EPI910631	EPI910635	EPI910628	EPI910634		EPI910628
A/Roraima/144096-IEC/2016	EPI910624	EPI910625	EPI910623	EPI910627	EPI910620	EPI910626		EPI910620
A/Idaho/33/2016	EPI824875	EPI824876	EPI824874	EPI824878	EPI824871	EPI827157		EPI824871
A/NewZealand/1118/2016	EPI871517	EPI871518	EPI871516	EPI871520	EPI871513	EPI871519		EPI871513
A/Townsville/50/2016				EPI919270		EPI919269		
A/Dunedin/3/2016				EPI829248		EPI829247		
A/Tasmania/1002/2016	EPI956975		EPI956974	EPI860054	EPI956971	EPI860053		EPI956971
A/Wellington/4/2016				EPI831663		EPI831662		
A/Victoria/2031/2016	EPI956729	EPI956730	EPI956728	EPI831501	EPI956725	EPI831500		EPI956725
A/Townsville/33/2016				EPI869502		EPI869501		
A/Victoria/828/2016				EPI869009		EPI869008		
A/NewZealand/823/2016	EPI870008	EPI870009	EPI870007	EPI870011	EPI870004	EPI870010		EPI870004
A/Brisbane/291/2016				EPI892780		EPI892779		
A/NewZealand/969/2016	EPI871613		EPI871612	EPI871616	EPI871609	EPI871615		EPI871609
A/PuertoRico/8/2016	EPI832354	EPI832355	EPI832353	EPI832357	EPI832350	EPI832356		EPI832350
A/NewZealand/635/2016	EPI841021	EPI841022	EPI841020	EPI841024	EPI841017	EPI841023		EPI841017
A/Idaho/20/2016	EPI804562	EPI804565	EPI804567	EPI804571	EPI804573	EPI804576		EPI804573
A/Brisbane/281/2016				EPI892930		EPI892929		
A/SouthAuckland/75/2016				EPI893107		EPI893106		
A/SouthAuckland/76/2016				EPI893110		EPI893109		
A/Perth/215/2016				EPI1131827		EPI1131826		
A/Brisbane/320/2016				EPI919279		EPI919278		
A/Townsville/45/2016				EPI919414		EPI919413		
A/Hawaii/47/2014	EPI549050	EPI549051	EPI549049	EPI549053	EPI549047	EPI549052		EPI549047
A/HongKong/4801/2014	EPI696096	EPI834579	EPI696095	EPI834581	EPI834574	EPI834580		EPI834574
A/Switzerland/9715293/2013	EPI814525	EPI814526	EPI680123	EPI814528	EPI814522	EPI814527		EPI814522
A/Hebei-Yunhe/1101/2017				EPI1030198		EPI1030197		
A/Norway/466/2014	EPI543537	EPI543538	EPI543731	EPI530647		EPI530648		
A/Tasmania/11/2014				EPI539689		EPI539688		
A/Kobe/63/2014				EPI554572		EPI554571		
A/Henan-Shihe/1212/2017				EPI1030345		EPI1030344		
A/Peru/27/2015	EPI629579	EPI629580	EPI629578	EPI629582	EPI629575	EPI629581		EPI629575
A/NewYork/85/2016	EPI827383	EPI827384	EPI827382	EPI827386	EPI827379	EPI827385		EPI827379
A/NewYork/88/2016	EPI857627	EPI857628	EPI843952	EPI843956	EPI843949	EPI843955		EPI843949
A/Ecuador/627/2017	EPI1035260	EPI1035261	EPI1035259	EPI1035263	EPI1035256	EPI1035262		EPI1035256
A/Colombia/5131/2017	EPI1058282	EPI1058283	EPI1058281	EPI1058285	EPI1058278	EPI1058284		EPI1058278
A/NewYork/92/2016	EPI843901	EPI843902	EPI857666	EPI843904	EPI857663	EPI843903		EPI857663
A/NewYork/91/2016	EPI843925	EPI857660	EPI857658	EPI843928	EPI857655	EPI843927		EPI857655
A/Michigan/263/2017	EPI1026771	EPI1026772	EPI1026770	EPI1026774	EPI1026767	EPI1026773		EPI1026767
A/Delaware/17/2017	EPI999264	EPI972653	EPI972651	EPI972655	EPI972649	EPI972654		EPI972649
A/Connecticut/22/2017	EPI1006259	EPI1016102	EPI1016100	EPI1006262	EPI1006255	EPI1006261		EPI1006255
A/NorthCarolina/27/2017	EPI1000796	EPI1000797	EPI1000798	EPI1000800	EPI1000801	EPI1000802		EPI1000801
A/Malaysia/678/2016				EPI892891		EPI892890		
A/Nebraska/19/2015	EPI686140	EPI686141	EPI686139	EPI686143	EPI686136	EPI686142		EPI686136
A/Kenya/114/2016	EPI924821	EPI924822	EPI924820	EPI924824	EPI924817	EPI924823		EPI924817
A/Wisconsin/20/2015	EPI579793	EPI579794	EPI579792	EPI579796	EPI579789	EPI579795		EPI579789
A/Michigan/15/2014	EPI841438	EPI841439	EPI699814	EPI841441	EPI841434	EPI841440		EPI841434
A/NewJersey/26/2014	EPI552910	EPI552911	EPI552909	EPI552913	EPI552906	EPI552912		EPI552906
A/Fiji/2/2015				EPI636656		EPI636655		
A/SouthAfrica/4639/2016	EPI827266	EPI827267	EPI827265	EPI861614	EPI827262	EPI827268		EPI827262
A/HongKong/7127/2014	EPI718977	EPI718978	EPI718976	EPI718980	EPI718973	EPI718979		EPI718973
A/Wisconsin/66/2015	EPI648033	EPI624326	EPI624324	EPI648036	EPI624321	EPI624327		EPI624321
A/Vietnam/6038/2016	EPI976487	EPI976488	EPI976486	EPI976490	EPI976483	EPI976489		EPI976483
A/Mie/27/2016	EPI855456	EPI855457	EPI855455	EPI854226	EPI855452	EPI854225		EPI855452
A/Vietnam/6145/2016	EPI976417	EPI976418	EPI976416	EPI976420	EPI976413	EPI976419		EPI976413
